TeamA,TeamB,GameDate,Attendence,Venue
Korea Republic,Italy,"['Tuesday June 18, 2002']",38588,"Daejeon World Cup Stadium, Daejeon (Neutral Site)"
Germany,Korea Republic,"['Tuesday June 25, 2002']",65625,"Seoul World Cup Stadium, Seoul (Neutral Site)"
United States,Portugal,"['Wednesday June 5, 2002']",37306,"Suwon World Cup Stadium, Suwon (Neutral Site)"
Poland,United States,"['Friday June 14, 2002']",26482,"Daejeon World Cup Stadium, Daejeon (Neutral Site)"
Mexico,United States,"['Monday June 17, 2002']",36380,"Jeonju World Cup Stadium, Jeonju (Neutral Site)"
Germany,United States,"['Friday June 21, 2002']",37337,"Munsu Cup Stadium, Ulsan (Neutral Site)"
Portugal,Poland,"['Monday June 10, 2002']",31000,"Jeonju World Cup Stadium, Jeonju (Neutral Site)"
Germany,Saudi Arabia,"['Saturday June 1, 2002']",32218,"Sapporo Dome, Sapporo (Neutral Site)"
Germany,Republic of Ireland,"['Wednesday June 5, 2002']",35854,"Kashima Soccer Stadium, Kashima (Neutral Site)"
Cameroon,Germany,"['Tuesday June 11, 2002']",47085,"Shizuoka Stadium Ecopa, Fukuroi (Neutral Site)"
Republic of Ireland,Cameroon,"['Saturday June 1, 2002']",33679,"Denka Big Swan Stadium, Niigata (Neutral Site)"
Saudi Arabia,Republic of Ireland,"['Tuesday June 11, 2002']",65320,"Nissan Stadium, Yokohama (Neutral Site)"
Cameroon,Saudi Arabia,"['Thursday June 6, 2002']",52328,"Saitama Stadium 2002, Saitama (Neutral Site)"
England,Sweden,"['Sunday June 2, 2002']",52721,"Saitama Stadium 2002, Saitama (Neutral Site)"
Sweden,Nigeria,"['Friday June 7, 2002']",36194,"NOEVIR Stadium Kobe, Kobe (Neutral Site)"
Sweden,Argentina,"['Wednesday June 12, 2002']",45777,"Miyagi Stadium, Rifu (Neutral Site)"
Argentina,England,"['Friday June 7, 2002']",35927,"Sapporo Dome, Sapporo (Neutral Site)"
Nigeria,England,"['Wednesday June 12, 2002']",44864,"Yanmar Stadium Nagai, Osaka (Neutral Site)"
Argentina,Nigeria,"['Sunday June 2, 2002']",34050,"Kashima Soccer Stadium, Kashima (Neutral Site)"
Croatia,Mexico,"['Monday June 3, 2002']",32239,"Denka Big Swan Stadium, Niigata (Neutral Site)"
Mexico,Ecuador,"['Sunday June 9, 2002']",45610,"Sapporo Dome, Sapporo (Neutral Site)"
Mexico,Italy,"['Thursday June 13, 2002']",39291,"Ōita Bank Dome, Ōita (Neutral Site)"
Italy,Ecuador,"['Monday June 3, 2002']",31081,"Sapporo Dome, Sapporo (Neutral Site)"
Italy,Croatia,"['Saturday June 8, 2002']",36472,"Kashima Soccer Stadium, Kashima (Neutral Site)"
Ecuador,Croatia,"['Thursday June 13, 2002']",65862,"Nissan Stadium, Yokohama (Neutral Site)"
Japan,Belgium,"['Tuesday June 4, 2002']",55256,"Saitama Stadium 2002, Saitama (Neutral Site)"
Japan,Russia,"['Sunday June 9, 2002']",66108,"Nissan Stadium, Yokohama (Neutral Site)"
Tunisia,Japan,"['Friday June 14, 2002']",45213,"Yanmar Stadium Nagai, Osaka (Neutral Site)"
Tunisia,Belgium,"['Monday June 10, 2002']",39700,"Ōita Bank Dome, Ōita (Neutral Site)"
Belgium,Russia,"['Friday June 14, 2002']",46640,"Shizuoka Stadium Ecopa, Fukuroi (Neutral Site)"
Russia,Tunisia,"['Wednesday June 5, 2002']",30957,"NOEVIR Stadium Kobe, Kobe (Neutral Site)"
Germany,Costa Rica,"['Friday June 9, 2006']",64950,"Allianz Arena, München (Neutral Site)"
Germany,Poland,"['Wednesday June 14, 2006']",65000,"Signal Iduna Park, Dortmund (Neutral Site)"
Ecuador,Germany,"['Tuesday June 20, 2006']",72000,"Olympiastadion Berlin, Berlin (Neutral Site)"
Germany,Sweden,"['Saturday June 24, 2006']",66000,"Allianz Arena, München (Neutral Site)"
Germany,Argentina,"['Friday June 30, 2006']",72000,"Olympiastadion Berlin, Berlin (Neutral Site)"
Germany,Italy,"['Tuesday July 4, 2006']",65000,"Signal Iduna Park, Dortmund (Neutral Site)"
Germany,Portugal,"['Saturday July 8, 2006']",52000,"Mercedes-Benz Arena, Stuttgart (Neutral Site)"
Poland,Ecuador,"['Friday June 9, 2006']",52000,"Veltins-Arena, Gelsenkirchen (Neutral Site)"
Ecuador,Costa Rica,"['Thursday June 15, 2006']",50000,"Veltins-Arena, Gelsenkirchen (Neutral Site)"
England,Ecuador,"['Sunday June 25, 2006']",52000,"Mercedes-Benz Arena, Stuttgart (Neutral Site)"
Costa Rica,Poland,"['Tuesday June 20, 2006']",43000,"HDI-Arena, Hannover (Neutral Site)"
England,Paraguay,"['Saturday June 10, 2006']",48000,"Commerzbank-Arena, Frankfurt am Main (Neutral Site)"
England,Trinidad and Tobago,"['Thursday June 15, 2006']",41000,"Max-Morlock-Stadion, Nürnberg (Neutral Site)"
Sweden,England,"['Tuesday June 20, 2006']",45000,"RheinEnergieSTADION, Köln (Neutral Site)"
England,Portugal,"['Saturday July 1, 2006']",52000,"Veltins-Arena, Gelsenkirchen (Neutral Site)"
Trinidad and Tobago,Sweden,"['Saturday June 10, 2006']",62959,"Signal Iduna Park, Dortmund (Neutral Site)"
Sweden,Paraguay,"['Thursday June 15, 2006']",72000,"Olympiastadion Berlin, Berlin (Neutral Site)"
Paraguay,Trinidad and Tobago,"['Tuesday June 20, 2006']",46000,"Fritz-Walter-Stadion, Kaiserslautern (Neutral Site)"
Argentina,Côte d'Ivoire,"['Saturday June 10, 2006']",49480,"Volksparkstadion, Hamburg (Neutral Site)"
Argentina,Serbia and Montenegro,"['Friday June 16, 2006']",52000,"Veltins-Arena, Gelsenkirchen (Neutral Site)"
Netherlands,Argentina,"['Wednesday June 21, 2006']",48000,"Commerzbank-Arena, Frankfurt am Main (Neutral Site)"
Argentina,Mexico,"['Saturday June 24, 2006']",43000,"Red Bull Arena, Leipzig (Neutral Site)"
Serbia and Montenegro,Netherlands,"['Sunday June 11, 2006']",37216,"Red Bull Arena, Leipzig (Neutral Site)"
Netherlands,Côte d'Ivoire,"['Friday June 16, 2006']",52000,"Mercedes-Benz Arena, Stuttgart (Neutral Site)"
Portugal,Netherlands,"['Sunday June 25, 2006']",41000,"Max-Morlock-Stadion, Nürnberg (Neutral Site)"
Côte d'Ivoire,Serbia and Montenegro,"['Wednesday June 21, 2006']",66000,"Allianz Arena, München (Neutral Site)"
Angola,Portugal,"['Sunday June 11, 2006']",45000,"RheinEnergieSTADION, Köln (Neutral Site)"
Portugal,Iran,"['Saturday June 17, 2006']",48000,"Commerzbank-Arena, Frankfurt am Main (Neutral Site)"
Portugal,Mexico,"['Wednesday June 21, 2006']",52000,"Veltins-Arena, Gelsenkirchen (Neutral Site)"
Portugal,France,"['Wednesday July 5, 2006']",66000,"Allianz Arena, München (Neutral Site)"
Mexico,Iran,"['Sunday June 11, 2006']",41000,"Max-Morlock-Stadion, Nürnberg (Neutral Site)"
Mexico,Angola,"['Friday June 16, 2006']",43000,"HDI-Arena, Hannover (Neutral Site)"
Iran,Angola,"['Wednesday June 21, 2006']",38000,"Red Bull Arena, Leipzig (Neutral Site)"
Italy,Ghana,"['Monday June 12, 2006']",43000,"HDI-Arena, Hannover (Neutral Site)"
Italy,United States,"['Saturday June 17, 2006']",46000,"Fritz-Walter-Stadion, Kaiserslautern (Neutral Site)"
Czech Republic,Italy,"['Thursday June 22, 2006']",50000,"Volksparkstadion, Hamburg (Neutral Site)"
Italy,Australia,"['Monday June 26, 2006']",46000,"Fritz-Walter-Stadion, Kaiserslautern (Neutral Site)"
Italy,Ukraine,"['Friday June 30, 2006']",50000,"Volksparkstadion, Hamburg (Neutral Site)"
Italy,France,"['Sunday July 9, 2006']",69000,"Olympiastadion Berlin, Berlin (Neutral Site)"
Czech Republic,Ghana,"['Saturday June 17, 2006']",45000,"RheinEnergieSTADION, Köln (Neutral Site)"
Ghana,United States,"['Thursday June 22, 2006']",41000,"Max-Morlock-Stadion, Nürnberg (Neutral Site)"
Brazil,Ghana,"['Tuesday June 27, 2006']",65000,"Signal Iduna Park, Dortmund (Neutral Site)"
United States,Czech Republic,"['Monday June 12, 2006']",52000,"Veltins-Arena, Gelsenkirchen (Neutral Site)"
Brazil,Croatia,"['Tuesday June 13, 2006']",72000,"Olympiastadion Berlin, Berlin (Neutral Site)"
Brazil,Australia,"['Sunday June 18, 2006']",66000,"Allianz Arena, München (Neutral Site)"
Japan,Brazil,"['Thursday June 22, 2006']",65000,"Signal Iduna Park, Dortmund (Neutral Site)"
Brazil,France,"['Saturday July 1, 2006']",48000,"Commerzbank-Arena, Frankfurt am Main (Neutral Site)"
Australia,Japan,"['Monday June 12, 2006']",46000,"Fritz-Walter-Stadion, Kaiserslautern (Neutral Site)"
Croatia,Australia,"['Thursday June 22, 2006']",52000,"Mercedes-Benz Arena, Stuttgart (Neutral Site)"
Japan,Croatia,"['Sunday June 18, 2006']",41000,"Max-Morlock-Stadion, Nürnberg (Neutral Site)"
France,Switzerland,"['Tuesday June 13, 2006']",52000,"Mercedes-Benz Arena, Stuttgart (Neutral Site)"
Togo,Switzerland,"['Monday June 19, 2006']",65000,"Signal Iduna Park, Dortmund (Neutral Site)"
Switzerland,Korea Republic,"['Friday June 23, 2006']",43000,"HDI-Arena, Hannover (Neutral Site)"
Switzerland,Ukraine,"['Monday June 26, 2006']",45000,"RheinEnergieSTADION, Köln (Neutral Site)"
France,Korea Republic,"['Sunday June 18, 2006']",43000,"Red Bull Arena, Leipzig (Neutral Site)"
Togo,France,"['Friday June 23, 2006']",45000,"RheinEnergieSTADION, Köln (Neutral Site)"
Spain,France,"['Tuesday June 27, 2006']",43000,"HDI-Arena, Hannover (Neutral Site)"
Korea Republic,Togo,"['Tuesday June 13, 2006']",48000,"Commerzbank-Arena, Frankfurt am Main (Neutral Site)"
Spain,Ukraine,"['Wednesday June 14, 2006']",43000,"Red Bull Arena, Leipzig (Neutral Site)"
Spain,Tunisia,"['Monday June 19, 2006']",52000,"Mercedes-Benz Arena, Stuttgart (Neutral Site)"
Saudi Arabia,Spain,"['Friday June 23, 2006']",46000,"Fritz-Walter-Stadion, Kaiserslautern (Neutral Site)"
Saudi Arabia,Ukraine,"['Monday June 19, 2006']",50000,"Volksparkstadion, Hamburg (Neutral Site)"
Ukraine,Tunisia,"['Friday June 23, 2006']",72000,"Olympiastadion Berlin, Berlin (Neutral Site)"
Tunisia,Saudi Arabia,"['Wednesday June 14, 2006']",66000,"Allianz Arena, München (Neutral Site)"
Uruguay,France,"['Friday June 11, 2010']",64100,"Cape Town Stadium, Cape Town, Western Cape (Neutral Site)"
South Africa,Uruguay,"['Wednesday June 16, 2010']",42658,"Loftus Versfeld Stadium, Pretoria, Gauteng (Neutral Site)"
Mexico,Uruguay,"['Tuesday June 22, 2010']",33425,"Royal Bafokeng Stadium, Phokeng (Neutral Site)"
Uruguay,Korea Republic,"['Saturday June 26, 2010']",30597,"Nelson Mandela Bay Stadium, Port Elizabeth, Eastern Cape (Neutral Site)"
Uruguay,Ghana,"['Friday July 2, 2010']",84017,"Soccer City, Johannesburg (Neutral Site)"
Uruguay,Netherlands,"['Tuesday July 6, 2010']",62479,"Cape Town Stadium, Cape Town, Western Cape (Neutral Site)"
Uruguay,Germany,"['Saturday July 10, 2010']",36254,"Nelson Mandela Bay Stadium, Port Elizabeth, Eastern Cape (Neutral Site)"
South Africa,Mexico,"['Friday June 11, 2010']",84490,"Soccer City, Johannesburg (Neutral Site)"
France,Mexico,"['Thursday June 17, 2010']",35370,"Peter Mokaba Stadium, Polokwane, Limpopo (Neutral Site)"
Argentina,Mexico,"['Sunday June 27, 2010']",84377,"Soccer City, Johannesburg (Neutral Site)"
France,South Africa,"['Tuesday June 22, 2010']",39415,"Toyota Stadium, Bloemfontein, Free State (Neutral Site)"
Argentina,Nigeria,"['Saturday June 12, 2010']",55686,"Emirates Airline Park, Johannesburg, Gauteng (Neutral Site)"
Argentina,Korea Republic,"['Thursday June 17, 2010']",82174,"Soccer City, Johannesburg (Neutral Site)"
Greece,Argentina,"['Tuesday June 22, 2010']",38891,"Peter Mokaba Stadium, Polokwane, Limpopo (Neutral Site)"
Argentina,Germany,"['Saturday July 3, 2010']",64100,"Cape Town Stadium, Cape Town, Western Cape (Neutral Site)"
Korea Republic,Greece,"['Saturday June 12, 2010']",31513,"Nelson Mandela Bay Stadium, Port Elizabeth, Eastern Cape (Neutral Site)"
Nigeria,Korea Republic,"['Tuesday June 22, 2010']",61874,"Moses Mabhida Stadium, Durban, KwaZulu-Natal (Neutral Site)"
Greece,Nigeria,"['Thursday June 17, 2010']",31593,"Toyota Stadium, Bloemfontein, Free State (Neutral Site)"
England,United States,"['Saturday June 12, 2010']",38646,"Royal Bafokeng Stadium, Phokeng (Neutral Site)"
Slovenia,United States,"['Friday June 18, 2010']",45573,"Emirates Airline Park, Johannesburg, Gauteng (Neutral Site)"
United States,Algeria,"['Wednesday June 23, 2010']",35827,"Loftus Versfeld Stadium, Pretoria, Gauteng (Neutral Site)"
United States,Ghana,"['Saturday June 26, 2010']",34976,"Royal Bafokeng Stadium, Phokeng (Neutral Site)"
England,Algeria,"['Friday June 18, 2010']",64100,"Cape Town Stadium, Cape Town, Western Cape (Neutral Site)"
Slovenia,England,"['Wednesday June 23, 2010']",36893,"Nelson Mandela Bay Stadium, Port Elizabeth, Eastern Cape (Neutral Site)"
Germany,England,"['Sunday June 27, 2010']",40510,"Toyota Stadium, Bloemfontein, Free State (Neutral Site)"
Algeria,Slovenia,"['Sunday June 13, 2010']",30325,"Peter Mokaba Stadium, Polokwane, Limpopo (Neutral Site)"
Germany,Australia,"['Sunday June 13, 2010']",62660,"Moses Mabhida Stadium, Durban, KwaZulu-Natal (Neutral Site)"
Germany,Serbia,"['Friday June 18, 2010']",38294,"Nelson Mandela Bay Stadium, Port Elizabeth, Eastern Cape (Neutral Site)"
Ghana,Germany,"['Wednesday June 23, 2010']",83391,"Soccer City, Johannesburg (Neutral Site)"
Germany,Spain,"['Wednesday July 7, 2010']",60960,"Moses Mabhida Stadium, Durban, KwaZulu-Natal (Neutral Site)"
Serbia,Ghana,"['Sunday June 13, 2010']",38833,"Loftus Versfeld Stadium, Pretoria, Gauteng (Neutral Site)"
Ghana,Australia,"['Saturday June 19, 2010']",34812,"Royal Bafokeng Stadium, Phokeng (Neutral Site)"
Australia,Serbia,"['Wednesday June 23, 2010']",37836,"Mbombela Stadium, Nelspruit (Neutral Site)"
Netherlands,Denmark,"['Monday June 14, 2010']",83465,"Soccer City, Johannesburg (Neutral Site)"
Netherlands,Japan,"['Saturday June 19, 2010']",62010,"Moses Mabhida Stadium, Durban, KwaZulu-Natal (Neutral Site)"
Cameroon,Netherlands,"['Thursday June 24, 2010']",63093,"Cape Town Stadium, Cape Town, Western Cape (Neutral Site)"
Netherlands,Slovakia,"['Monday June 28, 2010']",61962,"Moses Mabhida Stadium, Durban, KwaZulu-Natal (Neutral Site)"
Netherlands,Brazil,"['Friday July 2, 2010']",40186,"Nelson Mandela Bay Stadium, Port Elizabeth, Eastern Cape (Neutral Site)"
Netherlands,Spain,"['Sunday July 11, 2010']",84490,"Soccer City, Johannesburg (Neutral Site)"
Japan,Cameroon,"['Monday June 14, 2010']",30620,"Toyota Stadium, Bloemfontein, Free State (Neutral Site)"
Denmark,Japan,"['Thursday June 24, 2010']",27967,"Royal Bafokeng Stadium, Phokeng (Neutral Site)"
Paraguay,Japan,"['Tuesday June 29, 2010']",36742,"Loftus Versfeld Stadium, Pretoria, Gauteng (Neutral Site)"
Cameroon,Denmark,"['Saturday June 19, 2010']",38074,"Loftus Versfeld Stadium, Pretoria, Gauteng (Neutral Site)"
Italy,Paraguay,"['Monday June 14, 2010']",62869,"Cape Town Stadium, Cape Town, Western Cape (Neutral Site)"
Slovakia,Paraguay,"['Sunday June 20, 2010']",26643,"Toyota Stadium, Bloemfontein, Free State (Neutral Site)"
Paraguay,New Zealand,"['Thursday June 24, 2010']",34850,"Peter Mokaba Stadium, Polokwane, Limpopo (Neutral Site)"
Paraguay,Spain,"['Saturday July 3, 2010']",55359,"Emirates Airline Park, Johannesburg, Gauteng (Neutral Site)"
New Zealand,Slovakia,"['Tuesday June 15, 2010']",23871,"Royal Bafokeng Stadium, Phokeng (Neutral Site)"
Slovakia,Italy,"['Thursday June 24, 2010']",53412,"Emirates Airline Park, Johannesburg, Gauteng (Neutral Site)"
Italy,New Zealand,"['Sunday June 20, 2010']",38229,"Mbombela Stadium, Nelspruit (Neutral Site)"
Brazil,Korea DPR,"['Tuesday June 15, 2010']",54331,"Emirates Airline Park, Johannesburg, Gauteng (Neutral Site)"
Brazil,Côte d'Ivoire,"['Sunday June 20, 2010']",84455,"Soccer City, Johannesburg (Neutral Site)"
Portugal,Brazil,"['Friday June 25, 2010']",62712,"Moses Mabhida Stadium, Durban, KwaZulu-Natal (Neutral Site)"
Brazil,Chile,"['Monday June 28, 2010']",54096,"Emirates Airline Park, Johannesburg, Gauteng (Neutral Site)"
Côte d'Ivoire,Portugal,"['Tuesday June 15, 2010']",37034,"Nelson Mandela Bay Stadium, Port Elizabeth, Eastern Cape (Neutral Site)"
Portugal,Korea DPR,"['Monday June 21, 2010']",63644,"Cape Town Stadium, Cape Town, Western Cape (Neutral Site)"
Spain,Portugal,"['Tuesday June 29, 2010']",62955,"Cape Town Stadium, Cape Town, Western Cape (Neutral Site)"
Korea DPR,Côte d'Ivoire,"['Friday June 25, 2010']",34763,"Mbombela Stadium, Nelspruit (Neutral Site)"
Spain,Switzerland,"['Wednesday June 16, 2010']",62453,"Moses Mabhida Stadium, Durban, KwaZulu-Natal (Neutral Site)"
Spain,Honduras,"['Monday June 21, 2010']",54386,"Emirates Airline Park, Johannesburg, Gauteng (Neutral Site)"
Chile,Spain,"['Friday June 25, 2010']",41958,"Loftus Versfeld Stadium, Pretoria, Gauteng (Neutral Site)"
Honduras,Chile,"['Wednesday June 16, 2010']",32664,"Mbombela Stadium, Nelspruit (Neutral Site)"
Chile,Switzerland,"['Monday June 21, 2010']",34872,"Nelson Mandela Bay Stadium, Port Elizabeth, Eastern Cape (Neutral Site)"
Switzerland,Honduras,"['Friday June 25, 2010']",28042,"Toyota Stadium, Bloemfontein, Free State (Neutral Site)"

